Lon,Lat,Speciesrichness
-179.5,-77.04822,8
-179.5,-73.09689,9
-179.5,-69.92046,24
-179.5,-67.17492,13
-179.5,-64.71517,26
-179.5,-62.46289,20
-179.5,-60.36995,22
-179.5,-58.40418,22
-179.5,-56.54284,21
-179.5,-54.7691,21
-179.5,-53.07012,21
-179.5,-51.43583,26
-179.5,-49.85814,NaN
-179.5,-48.33045,178
-179.5,-46.84729,98
-179.5,-45.40405,19
-179.5,-43.99682,21
-179.5,-42.62225,24
-179.5,-41.2774,42
-179.5,-39.95974,52
-179.5,-38.66701,75
-179.5,-37.39724,32
-179.5,-36.14864,56
-179.5,-34.91962,46
-179.5,-33.70876,52
-179.5,-32.51474,84
-179.5,-31.33638,82
-179.5,-30.17261,94
-179.5,-29.02243,45
-179.5,-27.88493,50
-179.5,-26.75926,47
-179.5,-25.64464,55
-179.5,-24.54034,40
-179.5,-23.44568,70
-179.5,-22.36001,87
-179.5,-21.28275,646
-179.5,-20.21333,713
-179.5,-19.1512,843
-179.5,-18.09588,721
-179.5,-17.04687,776
-179.5,-16.00372,743
-179.5,-14.96599,711
-179.5,-13.93326,688
-179.5,-12.90513,665
-179.5,-11.88122,642
-179.5,-10.86114,620
-179.5,-9.84453,87
-179.5,-8.83105,575
-179.5,-7.82034,43
-179.5,-6.81208,42
-179.5,-5.80593,41
-179.5,-4.80158,41
-179.5,-3.79871,40
-179.5,-2.797,39
-179.5,-1.79614,62
-179.5,-0.79584,39
-179.5,0.20423,40
-179.5,1.20435,60
-179.5,2.20485,39
-179.5,3.20602,43
-179.5,4.20816,40
-179.5,5.2116,39
-179.5,6.21665,39
-179.5,7.22362,39
-179.5,8.23284,39
-179.5,9.24464,40
-179.5,10.25936,39
-179.5,11.27734,39
-179.5,12.29894,39
-179.5,13.32453,39
-179.5,14.35449,39
-179.5,15.38921,39
-179.5,16.4291,41
-179.5,17.47459,39
-179.5,18.52613,67
-179.5,19.58417,39
-179.5,20.64921,39
-179.5,21.72177,40
-179.5,22.80239,38
-179.5,23.89166,38
-179.5,24.99018,37
-179.5,26.09861,40
-179.5,27.21765,38
-179.5,28.34806,45
-179.5,29.49063,63
-179.5,30.64625,38
-179.5,31.81585,38
-179.5,33.00047,37
-179.5,34.20122,44
-179.5,35.41933,39
-179.5,36.65617,42
-179.5,37.91321,42
-179.5,39.19213,48
-179.5,40.49479,39
-179.5,41.82327,45
-179.5,43.17993,65
-179.5,44.56747,42
-179.5,45.98897,34
-179.5,47.448,26
-179.5,48.94875,38
-179.5,50.49615,83
-179.5,52.09608,167
-179.5,53.75572,56
-179.5,55.48388,33
-179.5,57.29166,40
-179.5,59.19334,26
-179.5,61.20787,95
-179.5,63.36129,72
-179.5,65.69124,NaN
-179.5,68.25572,NaN
-179.5,71.15352,NaN
-179.5,74.58264,3
-179.5,79.11166,47
-178.5,-77.04822,13
-178.5,-73.09689,15
-178.5,-69.92046,102
-178.5,-67.17492,89
-178.5,-64.71517,22
-178.5,-62.46289,20
